,Lab_Chla,chla_pred
2014-06-12,1.2041199826559248,1.263385406407767
2014-06-16,1.146128035678238,1.0906978239962204
2014-06-19,1.2304489213782739,1.1086059546799618
2014-06-23,1.2819419334408249,1.1569024404268204
2014-06-26,1.255272505103306,0.9543096287095408
2014-07-02,1.505149978319906,1.412625885736431
2014-07-07,1.6391377183700937,1.65512527075847
2014-07-10,1.3979400086720377,1.7398891583737168
2014-07-14,1.9030899869919435,1.7433511493067997
2014-07-17,1.4471580313422192,1.619740250303546
2014-07-21,1.7661524898594239,1.5739875430087877
2014-07-24,1.6989700043360187,1.5912381561551274
2014-07-28,1.6127838567197355,1.5429416704082688
2014-07-31,1.5778470559390212,1.446952489796316
2014-08-05,1.568201724066995,1.452808865756587
2014-08-07,1.591064607026499,1.452808865756587
2014-08-11,1.6720978579357175,1.4805532642719204
2014-08-14,1.4478988019440273,1.4093104368974985
2014-08-18,1.585742647390457,1.6093534319648153
2014-08-25,1.255272505103306,1.5912381561551274
2014-09-02,1.1760912590556813,1.3427134509834546
2015-05-25,0.9572480195790501,0.9244482830079948
2015-05-29,1.24535965075912,1.2888715639833253
2015-06-01,1.3111178426625056,1.2985125397861659
2015-06-08,1.5314789170422551,1.3626760611049054
2015-06-10,1.4934580509951885,1.4223667840378327
2015-06-11,1.7968387410974966,1.3505259001486067
2015-06-22,1.6420438720485455,1.4884191248923702
2015-06-25,1.257222446187574,1.4751974587833345
2015-07-06,1.7089729784630785,1.2580296009191811
2015-07-09,0.607387997289402,1.179511439365986
2015-07-13,1.3497630439879496,1.4697485041959266
2015-07-20,1.2683439139510646,1.5680196103474693
2015-07-27,1.6532125137753437,1.4361127558941371
2015-07-29,1.68419882272141,1.6764624234472456
2015-07-30,1.6044096711329507,1.65512527075847
2015-07-31,1.6619243198787004,1.6699767236207403
2015-08-04,1.568495067193246,1.4349007350728455
2015-08-10,1.5440680443502757,1.3956862472970917
2015-08-17,1.7853298350107671,1.6799691374767858
2015-08-24,1.7416242575038121,1.6699767236207403
2015-09-14,1.414973347970818,1.4223667840378327
2015-09-28,1.3617278360175928,1.4612092769561833
2016-05-19,0.35024801833416286,0.44280260463105914
2016-05-24,0.508049629008395,0.6559677387957952
2016-05-30,1.0,0.8691328729605313
2016-06-06,1.0413926851582251,0.9377567184985938
2016-06-10,1.0413926851582251,1.0412327932395007
2016-06-13,0.7781512503836436,1.2651896410624301
2016-06-16,1.4313637641589874,1.2195456982013924
2016-06-20,1.2899279582599572,1.2856993916483819
2016-06-23,1.255272505103306,1.1939031617317122
2016-06-27,1.380211241711606,1.4201567512375683
2016-07-04,1.542976957099931,1.5654978641953141
2016-07-07,1.6334684555795864,1.6807281957337088
2016-07-11,1.591064607026499,1.7643565917955069
2016-07-14,1.7708520116421442,1.7019457309403672
2016-07-18,1.70445081431542,1.6637955368129598
2016-07-20,1.744214724814166,1.7705695764784295
2016-07-21,1.8388490907372552,1.845685109642132
2016-07-25,1.7160033436347992,1.9850644714595131
2016-08-02,1.9077068814504248,1.7612023868942717
2016-08-08,1.8750612633917,1.792333350340154
2016-08-11,2.0211892990699383,1.934958543784212
2016-08-15,2.1748009371674724,1.9806439079237756
2016-08-18,2.2013971243204513,1.9513329508354966
2016-08-22,2.0253058652647704,2.0102371342213616
2016-08-25,2.0293837776852097,2.002137442504534
2016-08-29,1.760589083320454,1.8812820387833094
2016-09-06,1.9294189257142926,1.8448811032183028
2016-09-12,1.9138138523837167,1.8681313866006488
2016-09-14,1.8512583487190752,1.8520425925154784
2016-09-19,1.8260748027008264,1.8035857866042924
2017-05-09,0.9913236867210572,0.9053549586909247
2017-05-15,0.7715874808812554,0.9053549586909247
2017-05-23,0.8355837725130077,0.6559677387957952
2017-06-05,0.9304888158926068,0.78066134874336
2017-06-12,0.9836262871245345,0.9621904094193702
2017-06-19,0.9345850616816525,0.9670676755868727
2017-07-03,0.9542425094393249,0.9377567184985938
2017-07-04,0.8628148532392261,0.9670676755868727
2017-07-10,1.327786546477588,1.4675630615689728
2017-07-11,1.3981136917305026,1.488780596775631
2017-07-17,1.5367233698040712,1.3563009435646882
2017-07-24,1.5797835966168101,1.4506304026482237
2017-07-31,1.8165749530927193,1.6637955368129598
2017-08-03,1.9737338964792326,1.796506346156453
2017-08-08,2.1203435624380247,1.928934497484105
2017-08-10,2.2940306110125412,1.9603285049821126
2017-08-14,1.875102278165641,1.8267617397315024
2017-08-16,1.9216544673209028,1.8593313066192585
2017-08-21,2.0171794715073994,1.8362094348608597
2017-08-23,2.221299454163324,1.8153527767196738
2017-08-25,1.9967888550310608,1.7668087048414034
2017-08-28,1.5093423345796202,1.5493654149437752
2017-09-05,1.6131861871396043,1.482408839151088
2017-09-07,1.3351930306902706,1.3254766740653046
2017-09-11,1.3979400086720377,1.4060789560152698
2017-09-12,1.4704104909759306,1.386139754235836
2017-09-21,1.3686215439654934,1.3647919479132335
2017-10-05,1.1504494094608806,1.260112073949644
2018-05-23,0.725094521081469,0.5309453445748764
2018-05-28,0.6732025738818344,0.46640368633001994
2018-06-04,0.9030899869919435,0.870791611589242
2018-06-07,0.5797835966168101,0.8304248527189019
2018-06-08,0.9397653457357111,0.870791611589242
2018-06-11,0.7781512503836436,0.9670606965044939
2018-06-13,0.7427251313046983,0.9670606965044939
2018-06-18,1.3617278360175928,1.3296464179554366
2018-06-19,1.3839947894417328,1.2170027659342397
2018-06-21,1.2828486028346449,1.308197591869433
2018-06-25,1.4111685022887335,1.2802729857787405
2018-07-03,1.8884322437936814,1.679191131680986
